num_lote|est_lote|nro_tpo|nic|nis|cod_tar|num_orden|tip_os|est_os|ind_anomalia|f_estm_res|f_uce|empleado/contrata|clasif medidor|num_apa|co_marca|tip_csmo|nro_ruedas|cte|lectura|cant_precintos|precinto1|precinto2|precinto3|precinto4|precinto5|precinto6|precinto7|precinto8|precinto9|precinto10|precinto11|precinto12|precinto13|precinto14|precinto15|precinto16|precinto17|precinto18|precinto19|precinto20|Id_Serial_TP|
201709003031|EL005|1028496|1945572|1978382|CS1|5305838|TO811|EO004|1|20171002   |20170928   | ENECON-NORTE |MEDIDOR NUEVO|3000017880|MC058|CO011|6|1|1|5|cri6321304|cri6321305|dh1298451|sbi492407|sci492408| | | | | | | | | | | | | | | |31028496|
201709003031|EL005|1028496|1945572|1978382|CS1|5305838|TO811|EO004|1|20171002   |20170928   | ENECON-NORTE |MEDIDOR ENVIADO|TBK38221|MC013|CO011|5|1|82318|3|sbi492407|sbr488897|sci492408| | | | | | | | | | | | | | | | | |31028496|
201709003031|EL005|1028496|1963137|2013512|R14|5306288|TO811|EO011|2|20171002   |20170929   | ENECON-NORTE |MEDIDOR ENVIADO|3942585|MC001|CO011|5|1|11698|0| | | | | | | | | | | | | | | | | | | | |31028496|
201709003069|EL005|311085|1951249|1989736|R14|5295300|TO250|EO011|2|20170920   |20170929   | ENECON-NORTE |MEDIDOR ENVIADO|141630141|MC056|CO011|6|1|837|0| | | | | | | | | | | | | | | | | | | | |11223D036F|
201709003069|EL005|311085|1949414|1986066|R14|5298125|TO250|EO004|1|20170925   |20170928   | ENECON-NORTE |MEDIDOR NUEVO|141680281|MC056|CO011|6|1|1|5|0|461676|461677|583892|78089| | | | | | | | | | | | | | | |11223D036F|
201709003069|EL005|311085|1949414|1986066|R14|5298125|TO250|EO004|1|20170925   |20170928   | ENECON-NORTE |MEDIDOR ENVIADO|10086426|MC027|CO011|5|1|23998|3|I461676|I461677|R525676| | | | | | | | | | | | | | | | | |11223D036F|
201709003069|EL005|311085|2858986|3129179|R34|5298148|TO250|EO011|2|20170925   |20170929   | ENECON-NORTE |MEDIDOR ENVIADO|3000010839|MC058|CO011|6|1|97|0| | | | | | | | | | | | | | | | | | | | |11223D036F|
201709003069|EL005|311085|0|0| |5305917|TO154|EO004|1|20171002   |20170928   | ENECON-NORTE |SIN MEDIDOR|  |  |  |0|0|0|0| | | | | | | | | | | | | | | | | | | | |11223D036F|
201709003073|EL005|311073|3016793|3754282|R14|5305184|TO801|EO011|2|20171002   |20170929   | ENECON-NORTE |MEDIDOR ENVIADO|3000016204|MC058|CO011|6|1|719|4|SIB492830|SIC492831|SR491608|SR491609| | | | | | | | | | | | | | | | |11223D032C|
201709003073|EL005|311073|1946622|1980482|R34|5305678|TO801|EO011|2|20171002   |20170929   | ENECON-NORTE |MEDIDOR ENVIADO|PYAG0705|MC016|CO011|5|1|70986|1|SI492836| | | | | | | | | | | | | | | | | | | |11223D032C|
201709003073|EL005|311073|2988488|3650445|R14|5305721|TO801|EO004|1|20171002   |20170928   | ENECON-NORTE |MEDIDOR NUEVO|141676099|MC056|CO011|6|1000|0|3|DH69207|SI492828|SI492829| | | | | | | | | | | | | | | | | |11223D032C|
201709003073|EL005|311073|1945850|1978938|R24|5305833|TO801|EO004|1|20171002   |20170928   | ENECON-NORTE |MEDIDOR NUEVO|3000017985|MC058|CO011|6|6400|4|3|DH1297840|SI492834|SI492835| | | | | | | | | | | | | | | | | |11223D032C|
201709003073|EL005|311073|1945850|1978938|R24|5305833|TO801|EO004|1|20171002   |20170928   | ENECON-NORTE |MEDIDOR ENVIADO|YAB43328|MC016|CO011|5|1|79275|2|SI492834|SI492835| | | | | | | | | | | | | | | | | | |11223D032C|
201709003073|EL005|311073|1957275|2001788|R14|5306293|TO811|EO011|2|20171002   |20170929   | ENECON-NORTE |MEDIDOR ENVIADO|19616516|MC016|CO011|5|1|16234|0| | | | | | | | | | | | | | | | | | | | |11223D032C|
201709003073|EL005|311073|1941720|1970678|R34|5306325|TO801|EO011|2|20171002   |20170929   | ENECON-NORTE |MEDIDOR ENVIADO|25063618|MC016|CO011|5|1|42399|3|SI492832|SI492833|SR457836| | | | | | | | | | | | | | | | | |11223D032C|
201709003074|EL005|1028505|1930398|1948034|CS1|5302874|TO801|EO011|2|20170928   |20170929   | ENECON-NORTE |MEDIDOR ENVIADO|6677200692|MC051|CO011|5|1|25420|0| | | | | | | | | | | | | | | | | | | | |31028505|
201709003074|EL005|1028505|2849119|3068623|R24|5305040|TO811|EO004|1|20171002   |20170928   | ENECON-NORTE |MEDIDOR ENVIADO|901076104|MC055|CO011|5|1|2442|0| | | | | | | | | | | | | | | | | | | | |31028505|
201709003074|EL005|1028505|1953101|1993440|CS1|5305168|TO801|EO004|1|20171002   |20170928   | ENECON-NORTE |MEDIDOR NUEVO|3000019179|MC058|CO011|6|1|1|4|1314165|560867|560868|560869| | | | | | | | | | | | | | | | |31028505|
201709003074|EL005|1028505|1953101|1993440|CS1|5305168|TO801|EO004|1|20171002   |20170928   | ENECON-NORTE |MEDIDOR ENVIADO|1038134|MC044|CO011|5|1|2711|0| | | | | | | | | | | | | | | | | | | | |31028505|
201709003079|EL005|1028502|1950077|1987392|R14|5302939|TO550|EO004|1|20170929   |20170928   | ENECON-NORTE |MEDIDOR NUEVO|141680298|MC056|CO011|6|1000|0|3|78123|si562580|si562581| | | | | | | | | | | | | | | | | |31028502|
201709003079|EL005|1028502|1950077|1987392|R14|5302939|TO550|EO004|1|20170929   |20170928   | ENECON-NORTE |MEDIDOR ENVIADO|4858284|MC044|CO011|5|1|0|2|si562580|si562581| | | | | | | | | | | | | | | | | | |31028502|
201709003079|EL005|1028502|1983389|2054016|R34|5305374|TO804|EO011|2|20171002   |20170929   | ENECON-NORTE |MEDIDOR ENVIADO|6677176708|MC051|CO011|5|1|24297|0| | | | | | | | | | | | | | | | | | | | |31028502|
201709003079|EL005|1028502|1982580|2052398|R14|5305976|TO804|EO004|1|20171002   |20170928   | ENECON-NORTE |MEDIDOR ENVIADO|19519585|MC016|CO011|5|1|20462|2|si562582|si562583| | | | | | | | | | | | | | | | | | |31028502|
