num_lote|est_lote|nro_tpo|num_orden|tip_os|est_os|co_acceje|observaciones|Id_Serial_TP|
201709003031|EL005|1028496|5305838|TO811|EO004|AV036| |31028496|
201709003031|EL005|1028496|5305838|TO811|EO004|AV068|SE NORMALIZA SERVICIO REALIZANDO CAMBIO DE MD Y UC QUEDANDO PREDIO CON SUMINISTRO|31028496|
201709003031|EL005|1028496|5305838|TO811|EO004|AV094|#DIA280917 #FC193474 #TR1589 #ND118548 75KVA #TE201-246 PREDIO SIN SUMINISTRO ATT ALDEMAR MENDOZA|31028496|
201709003031|EL005|1028496|5305838|TO811|EO004|AV241| |31028496|
201709003031|EL005|1028496|5305838|TO811|EO004|AV310| |31028496|
201709003031|EL005|1028496|5305838|TO811|EO004|AV402|MD TBK38221 LECT 82318 ABB TIPO D8L 2X120 DE 1990 SE ENCONTRO MD Y UC QUEMADOS POR CORTO|31028496|
201709003031|EL005|1028496|5305838|TO811|EO004|AV420|SBR488897 MD INST 3000017880 LECT 000001,42 SBI 492407 SCI 492408|31028496|
201709003031|EL005|1028496|5306288|TO811|EO011|AV068|ATT JUAN CARLOS SANCHEZ ENCARGADO CEL 3157854710 SERVICIO SIN COBRO YA QUE ESTA EN ALQUILER|31028496|
201709003031|EL005|1028496|5306288|TO811|EO011|AV074| |31028496|
201709003031|EL005|1028496|5306288|TO811|EO011|AV094|#DIA280917 #FC192678 #TR116841 #ND119792 25KVA #TE201-246 PREDIO CON SUMINISTRO ATT UAN ARLOS SANCHEZ|31028496|
201709003031|EL005|1028496|5306288|TO811|EO011|AV310| |31028496|
201709003031|EL005|1028496|5306288|TO811|EO011|AV311| |31028496|
201709003031|EL005|1028496|5306288|TO811|EO011|AV337|SE CONECTA UC NUEVAMENTE EN TENDIDO QUEDANDO PREDIO CON SUMINISTRO|31028496|
201709003031|EL005|1028496|5306288|TO811|EO011|AV401|MD 3942585 LECT 11698,7 ACTARIS TIPO SL1621 120V DE 2003 SE ENCONTRO UC REVENTADA POR VEHICULO DE MAYOR ALTURA|31028496|
201709003069|EL005|311085|5295300|TO250|EO011|AV073|SE SUSPENDE SERVICIO DE TENDIDO MEDIDOR SUSPENDIDO EN BORNERA CON SELLO BUENO|11223D036F|
201709003069|EL005|311085|5295300|TO250|EO011|AV310| |11223D036F|
201709003069|EL005|311085|5295300|TO250|EO011|AV311|MEDIDOR 141630141 LECT 837|11223D036F|
